Report Card Name,Our Name
CPC01,"PreCanSkate 1 - Fall down"
CPC02,"PreCanSkate 1 - Stationary balance with eye focus"
CPC03,"PreCanSkate 1 - Smile"
CPC04,"PreCanSkate 1 - Stationary toe touch"
CPC05,"PreCanSkate 1 - March on the spot"
CPC06,"PreCanSkate 2 - Fall down - Get up (with assistance of pylon)"
CPC07,"PreCanSkate 2 - FWD walking/skating (5+ steps)"
CPC08,"PreCanSkate 2 - Walk around in circle"
CPC09,"PreCanSkate 2 - Stationary ""V"" position"
CPC10,"PreCanSkate 2 - Stationary 1-foot balance (R/L, 2+ counts)"
CPC11,"PreCanSkate 2 - Side steps (5+ steps, both directions)"
CPC12,"PreCanSkate 3 - Fall down - Get up (unassisted, 90% of attempts)"
CPC13,"PreCanSkate 3 - FWD walking/skating with speed (1/2 width ice)"
CPC14,"PreCanSkate 3 - BWD walking/skating (5+ steps)"
CPC15,"PreCanSkate 3 - FWD 2-foot glide (2+ counts)"
CPC16,"PreCanSkate 3 - Stationary 2-foot jump"
CPC17,"PreCanSkate 3 - Stationary 2-foot 1/4 turns"
CPC18,"PreCanSkate 4 - Make snow (R/L/both feet)"
CPC19,"PreCanSkate 4 - FWD skating (1/2 perimeter)"
CPC20,"PreCanSkate 4 - BWD walking/skating with speed (1/2 width ice)"
CPC21,"PreCanSkate 4 - FWD 2-foot sit-glide (2+ counts)"
CPC22,"PreCanSkate 4 - FWD glide turn"
CPC23,"PreCanSkate 4 - FWD skating with turn to BWD"
PC02,PreCanSkate - Balance on 2 feet
PC01,PreCanSkate - Fall down & get up
PC03,PreCanSkate - Move forward
PC05,PreCanSkate - Move backward
PC07,PreCanSkate - 360Â° march
PC04,PreCanSkate - Make snow
PC08,PreCanSkate - 2-ft jump
PC06,PreCanSkate - 2-ft twist
01_3,Agility 1 - 2-ft turn
02_3,Agility 1 - 2-ft jump
03_3,Agility 1 - Fwd skating perimeter of ice
05_3,Agility 2 - Fwd 2-ft turn
06_3,Agility 2 - Bwd 2-ft turn
07_3,Agility 2 - Fwd 180 glide turn
08_3,Agility 2 - Fwd 2-ft jump
09_3,Agility 3 - Fwd 2-ft quick turn
10_3,Agility 3 - Bwd 2-ft quick turn
11_3,Agility 3 - Fwd 360 step turn
12_3,Agility 3 - Bwd 2-ft jump
13_3,Agility 3 - Fast fwd perimeter skating
14_3,Agility 4 - Fwd 1-ft turn (small curve)
15_3,Agility 4 - Bwd 360 step turn
16_3,Agility 4 - Fwd to bwd 2-ft jump
17_3,Agility 4 - Bwd to fwd 2-ft jump
18_3,Agility 4 - 2-ft spin
19_3,Agility 4 - 2-ft sit spin
21_3,Agility 5 - Fwd 1-ft turn (large curve)
22_3,Agility 5 - Fwd 360 glide turn
23_3,Agility 5 - Fwd to bwd 1-ft jump
24_3,Agility 5 - Fwd power jump
25_3,Agility 5 - 1-ft spin
26_3,Agility 5 - Alternating foot spin
27_3,Agility 5 - Fwd tight glide turns
28_3,Agility 6 - Fwd 180 step turn (FI mohawk)
29_3,Agility 6 - Bwd 180 step turn (BO or BI mohawk)
30_3,Agility 6 - 2-ft multi-turns
31_3,Agility 6 - Rotating power jump
32_3,Agility 6 - Bwd toe-assisted jump
33_3,Agility 6 - Bwd 360 2-ft jump
34_3,Agility 6 - Fwd 1-ft spin with spiraling edge
35_3,Agility 6 - Fwd 2-ft reverse pivot turn
01,Balance 1 - Fall down & get up
02,Balance 1 - Fwd push/glide sequence
03,Balance 1 - Fwd 2-ft glide
04,Balance 1 - Fwd 2-ft sit glide
05,Balance 2 - Fwd 2-ft sculling
06,Balance 2 - Fwd 2-ft to 1-ft glide
07,Balance 2 - Fwd push/glide sequence
08,Balance 2 - Fwd 1-ft glide with speed
09,"Balance 3 - Fwd stationary blade push (T, V or L)"
10,Balance 3 - Fwd 2-ft slalom
11,Balance 3 - Fwd circle thrusts
12,Balance 3 - Walking crosscuts
13,Balance 3 - Fwd 2-ft to 1-ft curve glide
14,Balance 4 - Fwd crosscuts
15,Balance 4 - FI slalom
16,Balance 4 - FO slalom
17,Balance 4 - Fwd drag
18,Balance 4 - Fwd spiral
19,Balance 4 - Drop-down drill
20,"Balance 4 - Fwd ""V"" start"
21,Balance 5 - Fwd crosscuts - figure 8
22,Balance 5 - FI edges
23,Balance 5 - Fwd push/glide sequence
27,Balance 5 - Fwd perimeter skating with jumps
24,Balance 5 - Inside spread eagle
25,Balance 5 - Fwd 1-ft slalom
26,Balance 5 - Running lateral crossovers
28,Balance 6 - Fwd power crosscuts
Text4360,Balance 6 - Fwd perimeter skating with crosscuts
29,Balance 6 - FO edges
30,Balance 6 - Fwd 1-ft slalom
31,Balance 6 - Fwd shoot the duck
Text4362,Balance 6 - Fwd perimeter skating with side stops
32,Balance 6 - Fwd spiral on a curve
Text4361,"Balance 6 - Fwd ""crossover"" acceleration"
01_2,Control 1 - Snow slide steps
02_2,Control 1 - Bwd 2-ft skating/walking
03_2,Control 1 - Bwd 2-ft glide
05_2,Control 2 - Fwd stop
06_2,Control 2 - Bwd 2-ft sit glide
07_2,Control 2 - Bwd 2-ft to 1-ft glide
08_2,Control 2 - Bwd push/glide sequence
09_2,Control 3 - Fwd stop with speed
10_2,Control 3 - Bwd 2-ft sculling
11_2,Control 3 - Bwd 2-ft to 1-ft glide
12_2,Control 3 - Bwd push/glide sequence
13_2,Control 3 - Bwd 1-ft glide
14_2,Control 4 - Bwd stop
15_2,Control 4 - Bwd circle thrusts
16_2,Control 4 - Bwd 2-ft slalom
17_2,Control 4 - Bwd 1-ft glide with speed
18_2,Control 4 - Fwd 1-ft glide from blue line to blue line
19_2,Control 4 - Speed Drill #1
21_2,Control 5 - Fwd 2-ft side stop
22_2,Control 5 - Bwd stop with speed
23_2,Control 5 - Bwd crosscuts
24_2,Control 5 - BI slalom
25_2,Control 5 - Bwd push/glide sequence
26_2,Control 5 - Bwd spiral
27_2,Control 5 - Speed Drill #2
28_2,Control 6 - Fwd 1-ft side stop
29_2,Control 6 - Fwd 2-ft side stop with speed
30_2,Control 6 - BO slalom
31_2,Control 6 - Bwd crosscuts - figure 8
32_2,Control 6 - Bwd perimeter skating with crosscuts
33_2,Control 6 - Bwd 1-ft slalom
34_2,Control 6 - Bwd 1-ft spin
35_2,Control 6 - Speed Drill #3
Name,Skater Name
Club,Club Name
CoachSIG,Coach
CoachDate,Report Card Date
CoachComments,Coach Comments
PCRibbon,PreCanSkate
AGIStage1Ribbon,Agility 1
AGIStage2Ribbon,Agility 2
AGIStage3Ribbon,Agility 3
AGIStage4Ribbon,Agility 4
AGIStage5Ribbon,Agility 5
AGIStage6Ribbon,Agility 6
CONStage1Ribbon,Control 1
CONStage2Ribbon,Control 2
CONStage6Ribbon,Control 6
CONStage3Ribbon,Control 3
CONStage4Ribbon,Control 4
CONStage5Ribbon,Control 5
BALStage1Ribbon,Balance 1
BALStage2Ribbon,Balance 2
BALStage3Ribbon,Balance 3
BALStage4Ribbon,Balance 4
BALStage5Ribbon,Balance 5
BALStage6Ribbon,Balance 6
Stage1Date,Stage 1
Stage1Date,Stage 2
Stage3Date,Stage 3
Stage4Date,Stage 4
Stage5Date,Stage 5
Stage6Date,Stage 6